product_id,name,description,price
101,Wireless Mouse,Ergonomic wireless mouse,25.99
102,Gaming Keyboard,RGB mechanical keyboard,55.49
103,Noise Cancelling Headphones,Bluetooth over-ear headphones,79.99
104,USB-C Hub,Multiport 5-in-1 USB-C Hub,19.99
105,Laptop Stand,Adjustable aluminum stand,22.95
106,Webcam,1080p USB webcam,39.95
107,Monitor 24",24-inch full HD monitor,129.99
108,Monitor 27",27-inch QHD monitor,189.99
109,Smartwatch,Water-resistant smartwatch,99.99
110,Fitness Tracker,Activity tracking wristband,59.99
111,Portable Charger,10000mAh USB power bank,24.95
112,Phone Holder,Car dashboard phone mount,14.95
113,Bluetooth Speaker,Wireless mini speaker,29.95
114,LED Desk Lamp,Dimmable USB lamp,18.50
115,External SSD,1TB USB-C solid state drive,149.99
116,HDMI Cable,6ft HDMI cable,8.99
117,USB Flash Drive,64GB USB 3.0 stick,12.49
118,Wireless Earbuds,Noise-isolating earbuds,45.99
119,Wireless Charger,Fast Qi wireless charging pad,27.95
120,Tablet Stand,Aluminum adjustable tablet holder,21.99
121,Phone Case,Shockproof phone case,17.99
122,Keyboard Cover,Silicone cover for keyboard,9.99
123,Mouse Pad,Non-slip mouse pad,5.49
124,Router,High-speed WiFi 6 router,129.99
125,Desk Mat,Large PU leather desk mat,16.50
126,VR Headset,Virtual reality gaming headset,199.99
127,Graphics Tablet,Digital drawing pad,89.99
128,Smart Bulb,Wi-Fi color smart light bulb,12.99
129,Portable Fan,USB rechargeable fan,13.99
130,Tripod Stand,Extendable camera tripod,34.95
131,Laptop Sleeve,Waterproof laptop sleeve,19.95
132,HD Webcam,Full HD 1080p webcam with mic,42.50
133,Gaming Chair,Ergonomic office gaming chair,159.99
134,Microphone,USB condenser mic,74.99
135,Noise Filter,Pop filter for microphone,9.49
136,Cable Organizer,Magnetic cable clips,6.99
137,Streaming Light,LED ring light for streaming,24.99
138,Drawing Stylus,Universal tablet stylus pen,15.95
139,Desk Shelf,2-tier bamboo desk organizer,23.95
140,Laptop Cooler,Adjustable fan base cooler,27.99